City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
240,Udachnyy,RU,81.9,66.4167,112.4,Severnoye Siyaniye
241,Sangar,RU,79.11,63.9242,127.4739,
242,Athabasca,CA,69.62,54.7169,-113.2854,Athabasca Lodge Motel
243,Peniche,PT,67.48,39.3558,-9.3811,Hotel Star inn Peniche
244,Terekli-Mekteb,RU,77.94,44.1671,45.8698,"Gostevoy Dvor ""U Gul'zary"""
245,Zhangye,CN,78.87,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
248,Central Point,US,90.43,42.376,-122.9164,Courtyard by Marriott Medford Airport
250,Man,CI,69.71,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
251,Verkhnevilyuysk,RU,74.79,63.4453,120.3167,Gostinitsa Mila
252,Miles City,US,78.51,46.4083,-105.8406,FairBridge Inn & Suites Miles City
253,Saint-Pierre,RE,67.68,-21.3393,55.4781,Lindsey Hôtel
254,Mareeba,AU,81.32,-17.0,145.4333,Trinity Plains Tourist Park
255,Jumla,NP,74.71,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
256,Mitsamiouli,KM,75.4,-11.3847,43.2844,Foyer ADM
258,Jaru,BR,76.66,-10.4389,-62.4664,Hotel Paraná
260,Camopi,GF,70.54,3.1655,-52.3158,
263,Vanimo,PG,72.73,-2.6741,141.3028,Vahmoneh Lodge Vanimo
264,Zabaykalsk,RU,71.6,49.6333,117.3167,Zheleznyy Mir
271,Vidim,RU,81.79,56.4088,103.1106,
272,Yankton,US,77.25,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
273,Kropotkin,RU,74.12,45.4375,40.5756,Hotel Europe Kropotkin
275,Russell,US,80.31,32.3502,-85.1999,Macs
276,Sarangani,PH,84.67,5.4033,125.4636,Ballistic Islet
277,Aklavik,CA,72.43,68.2191,-135.0107,Aklavik Inn
279,Umm Kaddadah,SD,80.49,13.6017,26.6876,
282,Hasaki,JP,93.29,35.7333,140.8333,Hotel Sunrise Choshi
285,Guangyuan,CN,84.16,32.442,105.823,Guangyuan Poetry Hotel
287,Morondava,MG,68.76,-20.2833,44.2833,La Case Bambou
290,Jasper,US,80.82,37.2001,-94.3502,Guest House Motel
292,Yaan,NG,69.19,7.3833,8.5667,
293,Almeirim,BR,73.72,-1.5233,-52.5817,Ricácio Hotel
294,Leh,IN,73.2,34.1667,77.5833,Hotel Ladakh Greens
295,Gamba,GA,70.09,-2.65,10.0,
297,Kijang,KR,89.33,35.2442,129.2139,Samyang Beach Villa
298,Mecca,SA,85.78,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
300,Mandal,IN,84.94,25.45,74.5667,पीपी वाले हनुमान जी
301,Nipawin,CA,69.84,53.3668,-104.0009,Tobin Lake Motel
302,Yining,CN,92.1,29.0361,114.5636,Xiushui Hotel
303,Aquiraz,BR,79.21,-3.9014,-38.3911,Pousada Rua Camurupim
304,Leua,SK,68.5,48.2156,18.6071,Business Hotel ASTRUM Laus
305,Batabano,CU,80.73,22.7164,-82.2881,
308,Tombouctou,ML,86.99,20.0,-3.0,
